rotation-vector.txt

Estimated-heading-accuracy is in radians. The rotation vector represents the orientation of the device as a combination of an angle and an axis, in which the device has rotated through an angle θ around an axis <x, y, z>. The reference coordinate system is defined as a direct orthonormal basis, where: X is defined as the vector product Y.Z (It is tangential to the ground at the device's current location and roughly points East). Y is tangential to the ground at the device's current location and points towards magnetic north. Z points towards the sky and is perpendicular to the ground.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x*sin(θ/2) y*sin(θ/2) z*sin(θ/2) cos(θ/2) estimated-heading-accuracy
0.098 0.045 0.121314526 0.058312174 0.0 0.9908999 0.0
0.098 0.073 -0.039709132 0.12677538 0.9730433 0.18851535 0.0
0.098 0.093 -0.02534416 0.123039566 0.97149396 0.20104386 0.0
0.114 0.113 -0.014300094 0.123564765 0.97292745 0.1947809 0.0
0.143 0.133 -0.013393635 0.116848886 0.97038376 0.21100353 0.0
0.191 0.153 -0.020691982 0.11134897 0.97100025 0.21055155 0.0
0.191 0.173 -0.023957232 0.109059095 0.97393674 0.19743237 0.0
0.193 0.193 -0.032172594 0.101658836 0.9741107 0.19934621 0.0
0.228 0.213 -0.03021269 0.1004898 0.97732526 0.18391411 0.0
0.235 0.233 -0.018391678 0.09913325 0.97632796 0.19135891 0.0
0.277 0.253 -0.01607767 0.09956099 0.97275674 0.2087425 0.0
0.277 0.273 -0.03540307 0.09699008 0.97193587 0.21137711 0.0
0.293 0.293 -0.028564733 0.11569795 0.97779405 0.17238587 0.0
0.315 0.313 -0.016866636 0.10576398 0.9735959 0.20159489 0.0
0.333 0.333 -0.014626607 0.094322965 0.9714467 0.21721105 0.0
0.353 0.353 -7.3743507E-4 0.10115206 0.9717399 0.21328205 0.0
0.373 0.373 -0.007855899 0.09360605 0.96527725 0.24375433 0.0
0.393 0.393 -0.01041754 0.0999612 0.9703231 0.21993749 0.0
0.414 0.413 -0.008156603 0.10109084 0.9691479 0.2246474 0.0
0.433 0.433 -0.014996098 0.10211368 0.9684564 0.22680466 0.0
0.453 0.453 -0.021363083 0.10826221 0.97025484 0.21547285 0.0
0.473 0.473 -0.024468156 0.11197229 0.9710604 0.20953588 0.0
0.493 0.493 -0.017827328 0.10961524 0.97233254 0.20551433 0.0
0.513 0.513 -0.007201006 0.108290106 0.9693387 0.22046295 0.0
0.533 0.533 -0.0035759662 0.10286465 0.96605897 0.2369308 0.0
0.553 0.553 -0.0055283844 0.09714948 0.9671293 0.23493083 0.0
0.573 0.573 -0.006316247 0.097298674 0.96842915 0.22943023 0.0
0.595 0.593 -0.0075562373 0.09378037 0.9687279 0.22959666 0.0
0.618 0.613 -0.004525479 0.09646045 0.9694281 0.22557467 0.0
0.633 0.633 -0.009084263 0.098341115 0.9673694 0.23333047 0.0
0.653 0.653 -0.0080710305 0.09193465 0.9701321 0.22433574 0.0
0.673 0.673 -0.008531341 0.096107274 0.96939903 0.22573492 0.0
0.693 0.693 -0.012554624 0.0982029 0.9688431 0.22702791 0.0
0.713 0.713 -0.011088495 0.092975244 0.9707289 0.22117433 0.0
0.733 0.733 -0.009710642 0.09852177 0.9696438 0.22358488 0.0
0.753 0.753 -0.007798599 0.09808584 0.96876115 0.22764072 0.0
0.773 0.773 -0.008884833 0.09524321 0.96826315 0.23090321 0.0
0.793 0.793 -0.0059865047 0.09418205 0.96948504 0.2262579 0.0
0.813 0.813 -0.006991548 0.090201996 0.96820015 0.23324484 0.0
0.833 0.833 -0.011592676 0.089956224 0.96942335 0.22801726 0.0
