accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.066 -0.005 -0.78649527 3.86903 8.556877
0.068 0.017 -0.81283146 3.9624038 8.619126
0.068 0.032 -0.8403648 4.0785227 8.559271
0.068 0.045 -0.8750807 4.2042184 8.604761
0.072 0.057 -0.7493851 3.8953662 8.27077
0.098 0.068 -0.7493851 3.8953662 8.27077
0.098 0.078 -0.6667852 3.9396589 8.603564
0.098 0.088 -0.7026982 4.10845 9.097966
0.119 0.098 -0.7302315 4.107253 9.070433
0.119 0.108 -0.7673417 4.1144357 9.045294
0.135 0.118 -0.7733272 4.0282445 9.021352
0.200 0.128 -0.61171854 3.9707835 8.916007
0.200 0.138 -0.581791 3.9803603 8.90643
0.200 0.148 -0.58657944 4.0186677 8.9279785
0.200 0.158 -0.59017074 4.0761285 8.9040365
0.200 0.168 -0.62488663 4.0976763 8.822633
0.200 0.178 -0.664391 4.0617633 8.740033
0.200 0.188 -0.6596026 4.0462008 8.7053175
0.241 0.198 -0.6380547 4.021062 8.742428
0.241 0.208 -0.6560113 4.086902 8.743625
0.241 0.218 -0.59974754 4.1036615 8.66701
0.241 0.228 -0.521936 3.9911342 8.593987
0.251 0.238 -0.49559975 3.9336734 8.663419
0.285 0.248 -0.50996494 3.9947255 8.767567
0.285 0.258 -0.5303157 4.0701427 8.847773
0.285 0.268 -0.5422867 4.119224 8.821436
0.288 0.278 -0.48722005 4.1036615 8.7771435
0.298 0.288 -0.51116204 4.023456 8.846576
0.308 0.298 -0.62847793 4.0043025 8.893262
0.327 0.308 -0.65242 4.036624 8.916007
0.328 0.318 -0.5398925 4.0162735 8.86932
0.338 0.328 -0.46686932 3.9731777 8.892065
0.348 0.338 -0.48602295 3.9683893 8.974665
0.358 0.348 -0.62967503 4.024653 8.955511
0.370 0.358 -0.63087213 4.086902 8.908825
0.378 0.368 -0.5363012 4.07134 8.862138
0.388 0.378 -0.51235914 3.9695864 8.883685
0.398 0.388 -0.5255273 3.928885 8.9279785
0.408 0.398 -0.5351041 3.9719806 8.933964
0.420 0.408 -0.59376204 4.0282445 8.926781
0.428 0.418 -0.59017074 4.0438066 8.811859
0.438 0.428 -0.47165772 3.9600096 8.77834
0.448 0.438 -0.4141969 3.9025488 8.793902
0.458 0.448 -0.45729253 3.8989575 8.862138
0.470 0.458 -0.5243302 3.9372647 8.884883
0.478 0.468 -0.5303157 3.9636009 8.821436
0.488 0.478 -0.47884035 4.003105 8.804677
0.498 0.488 -0.4285621 4.024653 8.848969
0.508 0.498 -0.50038815 3.9959226 8.917204
0.519 0.508 -0.60214174 4.0162735 8.977059
0.528 0.518 -0.60693014 4.033033 8.916007
0.538 0.528 -0.5398925 4.0414124 8.852561
0.548 0.538 -0.47165772 4.0258503 8.871715
0.558 0.548 -0.51714754 3.9372647 8.961497
0.578 0.558 -0.51235914 3.976769 9.01417
