gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.119 0.117 -0.012217306 -0.21164036 -0.0062796953
0.135 0.127 -0.0012217313 -0.18842748 -0.011166617
0.199 0.138 -0.006719522 -0.1566625 -0.010555752
0.199 0.147 -0.02748894 -0.13955827 -0.014831809
0.199 0.157 -0.052534416 -0.11878885 -0.011166617
0.199 0.167 -0.048258357 -0.080915205 -0.008112291
0.199 0.177 -0.029932402 -0.050371945 -0.011777483
0.199 0.187 -0.008552119 -0.037543774 -0.00566883
0.199 0.197 0.017715089 -0.0265482 -1.7104251E-4
0.240 0.207 0.047647484 9.407364E-4 0.0034941486
0.240 0.217 0.05986479 0.031483997 -7.8190817E-4
0.241 0.227 0.048869215 0.044923034 -0.0044470998
0.241 0.237 0.026878066 0.008881986 -0.011166617
0.247 0.247 0.004276052 -0.046095885 -0.0068905605
0.285 0.257 -0.020769425 -0.076639146 -0.003836234
0.285 0.267 -0.03359759 -0.068087034 -0.0062796953
0.285 0.277 -0.045814894 -0.07114136 -0.00566883
0.288 0.287 -0.053756148 -0.07602829 -0.0026145037
0.297 0.297 -0.053145275 -0.079693474 -0.0044470998
0.307 0.307 -0.054367006 -0.07419568 -0.003836234
0.317 0.317 -0.06352998 -0.068087034 -7.8190817E-4
0.327 0.327 -0.06658432 -0.07175223 0.0016615526
0.337 0.337 -0.06658432 -0.063200116 0.0041050143
0.347 0.347 -0.055588737 -0.0405981 0.0041050143
0.357 0.357 -0.037873648 -0.0070005115 0.0022724182
0.367 0.367 -0.018936828 0.016212367 -0.009334021
0.377 0.377 -0.031765 0.0021624677 -0.012999212
0.387 0.387 -0.051312685 -0.014941759 -0.014220944
0.397 0.397 -0.05925393 -0.019217815 -0.013610078
0.407 0.408 -0.054367006 -0.0021135882 -0.010555752
0.417 0.417 -0.038484514 0.029040538 -0.01727527
0.427 0.427 -0.014660768 0.04125784 -0.011777483
0.437 0.437 -0.0061086565 0.024764482 -0.0050579645
0.447 0.447 0.0024434552 0.007660255 -1.7104251E-4
0.457 0.457 0.0054977834 0.003384199 0.0010506879
0.467 0.467 -0.0061086565 0.003384199 0.0041050143
0.477 0.477 -0.017715096 -0.022272144 0.008381071
0.487 0.487 -0.021991149 -0.042430695 0.009602802
0.497 0.497 -0.021380283 -0.04304156 0.0034941486
0.507 0.507 -0.02015856 -0.03021339 -7.8190817E-4
0.519 0.517 -0.010995574 -0.008833107 -0.0026145037
0.527 0.527 -0.010384709 -0.0045570508 4.398222E-4
0.537 0.537 -0.0158825 -0.024104737 -0.0026145037
0.547 0.547 -0.034208454 -0.04548502 -0.008112291
0.557 0.557 -0.050090954 -0.047928482 -0.0087231565
0.578 0.567 -0.060475662 -0.022272144 -0.009944887
0.578 0.577 -0.064140856 0.007660255 -0.011166617
0.607 0.587 -0.06352998 0.025375348 -0.0044470998
0.607 0.597 -0.075747296 -0.0070005115 0.002883284
0.609 0.607 -0.1020145 -0.042430695 0.0059376094
0.623 0.617 -0.12644911 -0.059534922 0.012657128
0.627 0.627 -0.14294247 -0.054648 0.0077702054
0.637 0.637 -0.13927728 -0.037543774 0.0059376094
0.647 0.647 -0.11972959 -0.025326468 0.0016615526
0.657 0.657 -0.0897972 -0.012498299 -0.0020036385
0.667 0.667 -0.048869222 0.010103717 -0.009334021
0.677 0.677 -0.0012217313 0.021710154 -0.016053539
0.687 0.687 0.03298672 0.003384199 -0.017886136
0.697 0.697 0.038484506 -0.027159065 -0.016664404
0.707 0.707 0.025656339 -0.032045987 -0.016053539
0.717 0.717 0.012217302 -0.042430695 -0.014220944
0.727 0.727 -0.0030543283 -0.068087034 -0.011777483
0.737 0.737 -0.017715096 -0.08396953 -0.00566883
0.747 0.747 -0.032375857 -0.07175223 -0.0020036385
0.757 0.757 -0.037262782 -0.047317617 0.0016615526
0.767 0.767 -0.029321536 -0.014330894 4.398222E-4
0.777 0.777 -0.018936828 0.015601505 -0.0062796953
0.787 0.787 -0.006719522 0.01987756 -0.009944887
0.797 0.797 0.0030543208 0.001551602 -0.0062796953
0.807 0.807 0.014049899 -0.009443972 -0.0044470998
0.817 0.817 0.012217302 -0.010665702 -0.0026145037
0.827 0.827 0.004886918 -0.023493873 -0.008112291
0.837 0.837 -0.012217306 -0.047317617 -0.008112291
0.847 0.847 -0.034208454 -0.07236309 -0.0068905605
0.857 0.857 -0.05681047 -0.07419568 -0.0013927734
0.867 0.867 -0.06719518 -0.065032706 0.0010506879
0.877 0.877 -0.051312685 -0.047928482 0.0016615526
0.887 0.887 -0.016493365 -0.020439547 0.0041050143
0.897 0.897 0.03176499 0.017434098 0.0071593407
0.907 0.907 0.06230825 0.05286428 0.004715879
0.918 0.918 0.043982297 0.06813592 0.004715879
0.928 0.927 -0.0061086565 0.049199093 -0.0020036385
0.938 0.938 -0.04642576 0.014379773 -1.7104251E-4
0.948 0.948 -0.06352998 -0.042430695 -1.7104251E-4
0.958 0.958 -0.06658432 -0.09068905 0.002883284
0.968 0.967 -0.05742134 -0.09191078 0.0041050143
0.978 0.978 -0.037873648 -0.061978385 0.0041050143
0.989 0.988 -0.008552119 -0.041208964 -0.003225369
0.998 0.998 0.014049899 -0.02899166 -0.0044470998
1.008 1.008 0.019547686 -0.01616349 -0.0013927734
1.020 1.017 0.009162977 0.008881986 -0.003836234
1.029 1.028 -0.024434611 0.013768908 -0.0050579645
1.038 1.038 -0.04520403 9.407364E-4 -0.0020036385
1.048 1.047 -0.05742134 -0.01738522 -0.00566883
1.058 1.058 -0.05742134 -0.020439547 -0.0020036385
1.068 1.068 -0.051923543 9.407364E-4 -0.0044470998
1.078 1.078 -0.052534416 0.011936311 -0.0044470998
1.088 1.087 -0.06780605 0.005827658 -0.0044470998
1.098 1.097 -0.08002335 0.0039950646 -0.0020036385
1.108 1.108 -0.08491027 0.007660255 -0.0044470998
1.118 1.118 -0.07513642 0.007049389 -0.0020036385
1.128 1.128 -0.058643073 -0.0033353195 -0.0050579645
1.138 1.138 -0.03481932 -0.024104737 -0.0050579645
1.148 1.148 -0.024434611 -0.023493873 -0.00566883
1.158 1.158 -0.018325962 -0.01616349 -0.0044470998
1.167 1.167 -0.01710423 -0.009443972 -0.0062796953
1.178 1.178 -0.032375857 -0.015552625 -0.008112291
1.188 1.188 -0.050090954 -0.03021339 -0.008112291
1.198 1.198 -0.053756148 -0.025937334 -0.0087231565
1.208 1.208 -0.044593163 -0.01982868 -0.014831809
1.217 1.217 -0.04642576 -0.024715602 -0.012388348
1.227 1.227 -0.0580322 -0.027159065 -0.010555752
1.237 1.238 -0.05619961 -0.013720028 -0.003836234
1.247 1.248 -0.026878074 0.003384199 -0.0013927734
1.257 1.258 6.1086565E-4 0.005216792 0.002883284
1.267 1.268 0.020769417 0.019266695 0.0016615526
1.277 1.278 0.025045473 0.029040538 0.002883284
1.288 1.288 0.007941246 0.02354275 0.0034941486
1.298 1.298 -0.015271634 0.017434098 0.0041050143
1.308 1.308 -0.038484514 0.020488426 0.0016615526
1.318 1.317 -0.051923543 0.027207945 -0.0013927734
1.328 1.328 -0.048869222 0.024764482 -0.0013927734
1.338 1.338 -0.03359759 0.012547176 -0.0013927734
1.348 1.347 -0.015271634 0.0039950646 -0.0013927734
