gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.119 0.117 -0.086132 -0.18020524 0.0012217305 -0.07391469 0.03143512 0.0075014257
0.135 0.127 -0.07513642 -0.15699236 -0.0036651916 -0.07391469 0.03143512 0.0075014257
0.199 0.138 -0.080634214 -0.12522738 -0.0030543262 -0.07391469 0.03143512 0.0075014257
0.199 0.147 -0.10140363 -0.108123146 -0.007330383 -0.07391469 0.03143512 0.0075014257
0.199 0.157 -0.12644911 -0.08735373 -0.0036651916 -0.07391469 0.03143512 0.0075014257
0.199 0.167 -0.12217305 -0.049480084 -6.1086525E-4 -0.07391469 0.03143512 0.0075014257
0.200 0.177 -0.103847094 -0.018936822 -0.004276057 -0.07391469 0.03143512 0.0075014257
0.200 0.187 -0.08246681 -0.0061086523 0.0018325958 -0.07391469 0.03143512 0.0075014257
0.200 0.197 -0.056199603 0.004886922 0.007330383 -0.07391469 0.03143512 0.0075014257
0.241 0.207 -0.026267206 0.032375857 0.010995574 -0.07391469 0.03143512 0.0075014257
0.241 0.217 -0.014049901 0.06291912 0.0067195175 -0.07391469 0.03143512 0.0075014257
0.241 0.227 -0.025045475 0.076358154 0.0030543262 -0.07391469 0.03143512 0.0075014257
0.241 0.237 -0.047036625 0.040317107 -0.0036651916 -0.07391469 0.03143512 0.0075014257
0.247 0.247 -0.06963864 -0.014660766 6.1086525E-4 -0.07391469 0.03143512 0.0075014257
0.285 0.257 -0.09468412 -0.04520403 0.0036651916 -0.07391469 0.03143512 0.0075014257
0.285 0.267 -0.10751228 -0.036651913 0.0012217305 -0.07391469 0.03143512 0.0075014257
0.285 0.277 -0.119729586 -0.03970624 0.0018325958 -0.07391469 0.03143512 0.0075014257
0.288 0.287 -0.12767084 -0.044593163 0.004886922 -0.07391469 0.03143512 0.0075014257
0.297 0.297 -0.12705997 -0.048258353 0.0030543262 -0.07391469 0.03143512 0.0075014257
0.307 0.307 -0.1282817 -0.042760566 0.0036651916 -0.07391469 0.03143512 0.0075014257
0.317 0.317 -0.13744467 -0.036651913 0.0067195175 -0.07391469 0.03143512 0.0075014257
0.327 0.327 -0.14049901 -0.040317107 0.009162978 -0.07391469 0.03143512 0.0075014257
0.337 0.337 -0.14049901 -0.03176499 0.01160644 -0.07391469 0.03143512 0.0075014257
0.347 0.347 -0.12950343 -0.009162978 0.01160644 -0.07391469 0.03143512 0.0075014257
0.357 0.357 -0.11178834 0.02443461 0.009773844 -0.07391469 0.03143512 0.0075014257
0.367 0.367 -0.09285152 0.047647487 -0.0018325958 -0.07391469 0.03143512 0.0075014257
0.377 0.377 -0.10567969 0.03359759 -0.005497787 -0.07391469 0.03143512 0.0075014257
0.387 0.387 -0.12522738 0.016493361 -0.0067195175 -0.07391469 0.03143512 0.0075014257
0.397 0.397 -0.13316862 0.012217305 -0.0061086523 -0.07391469 0.03143512 0.0075014257
0.407 0.408 -0.1282817 0.029321533 -0.0030543262 -0.07391469 0.03143512 0.0075014257
0.417 0.417 -0.112399206 0.06047566 -0.009773844 -0.07391469 0.03143512 0.0075014257
0.427 0.427 -0.08857546 0.07269296 -0.004276057 -0.07391469 0.03143512 0.0075014257
0.437 0.437 -0.08002335 0.056199603 0.002443461 -0.07391469 0.03143512 0.0075014257
0.447 0.447 -0.07147124 0.039095376 0.007330383 -0.07391469 0.03143512 0.0075014257
0.457 0.457 -0.06841691 0.03481932 0.008552114 -0.07391469 0.03143512 0.0075014257
0.467 0.467 -0.08002335 0.03481932 0.01160644 -0.07391469 0.03143512 0.0075014257
0.477 0.477 -0.09162979 0.009162978 0.015882496 -0.07391469 0.03143512 0.0075014257
0.487 0.487 -0.09590584 -0.010995574 0.017104227 -0.07391469 0.03143512 0.0075014257
0.497 0.497 -0.095294975 -0.01160644 0.010995574 -0.07391469 0.03143512 0.0075014257
0.507 0.507 -0.09407325 0.0012217305 0.0067195175 -0.07391469 0.03143512 0.0075014257
0.519 0.517 -0.084910266 0.022602014 0.004886922 -0.07391469 0.03143512 0.0075014257
0.527 0.527 -0.0842994 0.02687807 0.007941248 -0.07391469 0.03143512 0.0075014257
0.537 0.537 -0.08979719 0.007330383 0.004886922 -0.07391469 0.03143512 0.0075014257
0.547 0.547 -0.108123146 -0.014049901 -6.1086525E-4 -0.07391469 0.03143512 0.0075014257
0.557 0.557 -0.124005646 -0.016493361 -0.0012217305 -0.07391469 0.03143512 0.0075014257
0.578 0.567 -0.13439035 0.009162978 -0.002443461 -0.07391469 0.03143512 0.0075014257
0.578 0.577 -0.13805555 0.039095376 -0.0036651916 -0.07391469 0.03143512 0.0075014257
0.607 0.587 -0.13744467 0.05681047 0.0030543262 -0.07391469 0.03143512 0.0075014257
0.607 0.597 -0.14966199 0.02443461 0.01038471 -0.07391469 0.03143512 0.0075014257
0.609 0.607 -0.17592919 -0.010995574 0.013439035 -0.07391469 0.03143512 0.0075014257
0.623 0.617 -0.2003638 -0.028099801 0.020158553 -0.07391469 0.03143512 0.0075014257
0.627 0.627 -0.21685717 -0.02321288 0.015271631 -0.07391469 0.03143512 0.0075014257
0.637 0.637 -0.21319197 -0.0061086523 0.013439035 -0.07391469 0.03143512 0.0075014257
0.647 0.647 -0.19364429 0.0061086523 0.009162978 -0.07391469 0.03143512 0.0075014257
0.657 0.657 -0.16371189 0.018936822 0.005497787 -0.07391469 0.03143512 0.0075014257
0.667 0.667 -0.122783914 0.04153884 -0.0018325958 -0.07391469 0.03143512 0.0075014257
0.677 0.677 -0.07513642 0.053145275 -0.008552114 -0.07391469 0.03143512 0.0075014257
0.687 0.687 -0.040927973 0.03481932 -0.01038471 -0.07391469 0.03143512 0.0075014257
0.697 0.697 -0.035430185 0.004276057 -0.009162978 -0.07391469 0.03143512 0.0075014257
0.707 0.707 -0.048258353 -6.1086525E-4 -0.008552114 -0.07391469 0.03143512 0.0075014257
0.717 0.717 -0.06169739 -0.010995574 -0.0067195175 -0.07391469 0.03143512 0.0075014257
0.727 0.727 -0.07696902 -0.036651913 -0.004276057 -0.07391469 0.03143512 0.0075014257
0.737 0.737 -0.09162979 -0.052534413 0.0018325958 -0.07391469 0.03143512 0.0075014257
0.747 0.747 -0.10629055 -0.040317107 0.005497787 -0.07391469 0.03143512 0.0075014257
0.757 0.757 -0.111177474 -0.015882496 0.009162978 -0.07391469 0.03143512 0.0075014257
0.767 0.767 -0.10323623 0.017104227 0.007941248 -0.07391469 0.03143512 0.0075014257
0.777 0.777 -0.09285152 0.047036625 0.0012217305 -0.07391469 0.03143512 0.0075014257
0.787 0.787 -0.080634214 0.05131268 -0.002443461 -0.07391469 0.03143512 0.0075014257
0.797 0.797 -0.07086037 0.032986723 0.0012217305 -0.07391469 0.03143512 0.0075014257
0.807 0.807 -0.059864793 0.021991149 0.0030543262 -0.07391469 0.03143512 0.0075014257
0.817 0.817 -0.06169739 0.02076942 0.004886922 -0.07391469 0.03143512 0.0075014257
0.827 0.827 -0.069027774 0.007941248 -6.1086525E-4 -0.07391469 0.03143512 0.0075014257
0.837 0.837 -0.086132 -0.015882496 -6.1086525E-4 -0.07391469 0.03143512 0.0075014257
0.847 0.847 -0.108123146 -0.040927973 6.1086525E-4 -0.07391469 0.03143512 0.0075014257
0.857 0.857 -0.13072516 -0.042760566 0.0061086523 -0.07391469 0.03143512 0.0075014257
0.867 0.867 -0.14110987 -0.03359759 0.008552114 -0.07391469 0.03143512 0.0075014257
0.877 0.877 -0.12522738 -0.016493361 0.009162978 -0.07391469 0.03143512 0.0075014257
0.887 0.887 -0.09040806 0.010995574 0.01160644 -0.07391469 0.03143512 0.0075014257
0.897 0.897 -0.0421497 0.04886922 0.014660766 -0.07391469 0.03143512 0.0075014257
0.907 0.907 -0.01160644 0.0842994 0.012217305 -0.07391469 0.03143512 0.0075014257
0.918 0.918 -0.029932396 0.099571034 0.012217305 -0.07391469 0.03143512 0.0075014257
0.928 0.927 -0.08002335 0.080634214 0.005497787 -0.07391469 0.03143512 0.0075014257
0.938 0.938 -0.12034045 0.045814894 0.007330383 -0.07391469 0.03143512 0.0075014257
0.948 0.948 -0.13744467 -0.010995574 0.007330383 -0.07391469 0.03143512 0.0075014257
0.959 0.958 -0.14049901 -0.059253927 0.01038471 -0.07391469 0.03143512 0.0075014257
0.968 0.967 -0.13133603 -0.06047566 0.01160644 -0.07391469 0.03143512 0.0075014257
0.979 0.978 -0.11178834 -0.030543262 0.01160644 -0.07391469 0.03143512 0.0075014257
0.989 0.988 -0.08246681 -0.009773844 0.004276057 -0.07391469 0.03143512 0.0075014257
0.998 0.998 -0.059864793 0.002443461 0.0030543262 -0.07391469 0.03143512 0.0075014257
1.008 1.008 -0.054367006 0.015271631 0.0061086523 -0.07391469 0.03143512 0.0075014257
1.020 1.017 -0.064751714 0.040317107 0.0036651916 -0.07391469 0.03143512 0.0075014257
1.029 1.028 -0.0983493 0.04520403 0.002443461 -0.07391469 0.03143512 0.0075014257
1.039 1.038 -0.11911872 0.032375857 0.005497787 -0.07391469 0.03143512 0.0075014257
1.048 1.047 -0.13133603 0.014049901 0.0018325958 -0.07391469 0.03143512 0.0075014257
1.058 1.058 -0.13133603 0.010995574 0.005497787 -0.07391469 0.03143512 0.0075014257
1.068 1.068 -0.12583824 0.032375857 0.0030543262 -0.07391469 0.03143512 0.0075014257
1.078 1.078 -0.12644911 0.04337143 0.0030543262 -0.07391469 0.03143512 0.0075014257
1.089 1.087 -0.14172074 0.03726278 0.0030543262 -0.07391469 0.03143512 0.0075014257
1.098 1.097 -0.15393804 0.035430185 0.005497787 -0.07391469 0.03143512 0.0075014257
1.108 1.108 -0.15882497 0.039095376 0.0030543262 -0.07391469 0.03143512 0.0075014257
1.118 1.118 -0.14905111 0.03848451 0.005497787 -0.07391469 0.03143512 0.0075014257
1.129 1.128 -0.13255776 0.028099801 0.002443461 -0.07391469 0.03143512 0.0075014257
1.139 1.138 -0.10873401 0.007330383 0.002443461 -0.07391469 0.03143512 0.0075014257
1.149 1.148 -0.0983493 0.007941248 0.0018325958 -0.07391469 0.03143512 0.0075014257
1.158 1.158 -0.092240654 0.015271631 0.0030543262 -0.07391469 0.03143512 0.0075014257
1.168 1.167 -0.09101892 0.021991149 0.0012217305 -0.07391469 0.03143512 0.0075014257
1.178 1.178 -0.10629055 0.015882496 -6.1086525E-4 -0.07391469 0.03143512 0.0075014257
1.188 1.188 -0.124005646 0.0012217305 -6.1086525E-4 -0.07391469 0.03143512 0.0075014257
1.199 1.198 -0.12767084 0.005497787 -0.0012217305 -0.07391469 0.03143512 0.0075014257
1.208 1.208 -0.118507855 0.01160644 -0.007330383 -0.07391469 0.03143512 0.0075014257
1.218 1.217 -0.12034045 0.0067195175 -0.004886922 -0.07391469 0.03143512 0.0075014257
1.227 1.227 -0.13194689 0.004276057 -0.0030543262 -0.07391469 0.03143512 0.0075014257
1.237 1.238 -0.1301143 0.017715093 0.0036651916 -0.07391469 0.03143512 0.0075014257
1.248 1.248 -0.100792766 0.03481932 0.0061086523 -0.07391469 0.03143512 0.0075014257
1.257 1.258 -0.073303826 0.036651913 0.01038471 -0.07391469 0.03143512 0.0075014257
1.267 1.268 -0.053145275 0.050701816 0.009162978 -0.07391469 0.03143512 0.0075014257
1.277 1.278 -0.04886922 0.06047566 0.01038471 -0.07391469 0.03143512 0.0075014257
1.288 1.288 -0.065973446 0.05497787 0.010995574 -0.07391469 0.03143512 0.0075014257
1.298 1.298 -0.089186326 0.04886922 0.01160644 -0.07391469 0.03143512 0.0075014257
1.309 1.308 -0.112399206 0.051923547 0.009162978 -0.07391469 0.03143512 0.0075014257
1.318 1.317 -0.12583824 0.058643065 0.0061086523 -0.07391469 0.03143512 0.0075014257
