linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.098 0.068 0.051779687 -0.26915455 -0.5714741
0.098 0.078 0.022542834 -0.1331222 -0.29068565
0.098 0.088 -0.014089644 0.08238649 0.18241692
0.119 0.098 -0.013115406 0.072909355 0.16087627
0.119 0.108 -0.012240648 0.06603336 0.145257
0.135 0.118 -0.008075118 0.04202962 0.094153404
0.200 0.128 0.0016945004 -0.011067867 -0.024852753
0.200 0.138 0.0021024942 -0.013746738 -0.030939102
0.200 0.148 -1.630187E-4 8.172989E-4 0.0014238358
0.200 0.158 -2.4038553E-4 0.0016479492 0.0034189224
0.200 0.168 0.0037603974 -0.02471304 -0.05323887
0.200 0.178 0.010008037 -0.061398506 -0.13212109
0.200 0.188 0.012447894 -0.07853174 -0.16628456
0.241 0.198 0.010813594 -0.0679183 -0.14743137
0.241 0.208 0.009004116 -0.056092262 -0.11999416
0.241 0.218 0.012435496 -0.08474159 -0.17905617
0.241 0.228 0.017404974 -0.13320017 -0.2868557
0.251 0.238 0.014518082 -0.11523247 -0.25378513
0.285 0.248 0.008585155 -0.06578469 -0.14387321
0.285 0.258 0.0028210878 -0.022069454 -0.04829216
0.285 0.268 0.0031023622 -0.02355957 -0.050444603
0.288 0.278 0.0052908063 -0.04455328 -0.095293045
0.298 0.288 0.003912866 -0.030900955 -0.067866325
0.308 0.298 0.0020973086 -0.013629913 -0.030245781
0.327 0.308 -1.2212992E-4 9.1362E-4 0.0020885468
0.328 0.318 0.0030255318 -0.02282381 -0.050395012
0.338 0.328 0.0026316345 -0.022835493 -0.05119133
0.348 0.338 -8.9234114E-4 0.007393837 0.016676903
0.358 0.348 -0.002027154 0.013012886 0.028966904
0.370 0.358 -9.737015E-4 0.0063123703 0.013747215
0.378 0.368 0.0021501184 -0.016387463 -0.035668373
0.388 0.378 0.0032929182 -0.02557373 -0.057409286
0.398 0.388 0.002071917 -0.0153512955 -0.03500271
0.408 0.398 7.9876184E-4 -0.0059673786 -0.013612747
0.420 0.408 -2.9861927E-4 0.0020170212 0.0044670105
0.428 0.418 0.0056685805 -0.038802624 -0.084638596
0.438 0.428 0.008071303 -0.06772804 -0.15012932
0.448 0.438 0.007626176 -0.071666956 -0.16143513
0.458 0.448 0.0054005384 -0.045818806 -0.10418987
0.470 0.458 0.00397712 -0.030060291 -0.0678606
0.478 0.468 0.006635964 -0.04958749 -0.11032677
0.488 0.478 0.0060686767 -0.050777912 -0.1116724
0.498 0.488 0.003480196 -0.031419754 -0.06910324
0.508 0.498 0.001116395 -0.009105206 -0.020280838
0.519 0.508 -0.0028193593 0.018873453 0.042183876
0.528 0.518 1.4722347E-4 -9.446144E-4 -0.0018892288
0.538 0.528 0.003297925 -0.025003433 -0.05471611
0.548 0.538 0.0024905205 -0.02178526 -0.04805088
0.558 0.548 2.4569035E-4 -0.0019006729 -0.004307747
0.578 0.558 -0.0030848384 0.023759127 0.053995132
0.578 0.568 -0.0014523268 0.010850668 0.024116516
0.607 0.578 0.0077029467 -0.05649972 -0.12555885
0.607 0.588 0.012636304 -0.09800291 -0.22038078
