magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.068 0.048 9.32 -36.56 -45.92
0.069 0.058 9.62 -36.39 -46.23
0.072 0.068 8.27 -36.67 -48.78
0.098 0.078 9.08 -36.53 -47.19
0.098 0.088 8.77 -36.39 -46.24
0.119 0.098 7.95 -36.7 -47.51
0.119 0.108 7.36 -37.06 -46.88
0.135 0.118 8.200001 -37.0 -48.1
0.200 0.128 8.200001 -37.0 -48.1
0.200 0.138 8.200001 -36.600006 -47.300003
0.200 0.148 8.200001 -36.600006 -47.300003
0.200 0.158 8.299999 -36.399994 -47.6
0.200 0.168 8.299999 -36.399994 -47.6
0.200 0.178 8.5 -36.299988 -47.700005
0.200 0.188 8.5 -36.299988 -47.700005
0.241 0.198 8.4 -36.299988 -47.700005
0.241 0.208 8.4 -36.299988 -47.700005
0.241 0.218 8.4 -36.399994 -47.700005
0.241 0.228 8.4 -36.399994 -47.700005
0.250 0.238 8.200001 -36.5 -47.700005
0.285 0.248 8.200001 -36.5 -47.700005
0.285 0.258 8.1 -36.5 -47.6
0.285 0.268 8.1 -36.5 -47.6
0.288 0.278 7.8999996 -36.5 -47.6
0.297 0.288 7.8999996 -36.5 -47.6
0.307 0.298 7.799999 -36.5 -47.6
0.317 0.308 7.799999 -36.5 -47.6
0.327 0.318 7.700001 -36.600006 -47.6
0.337 0.328 7.700001 -36.600006 -47.6
0.347 0.338 7.799999 -36.5 -47.800003
0.357 0.348 7.799999 -36.5 -47.800003
0.367 0.358 7.799999 -36.5 -47.800003
0.377 0.368 7.799999 -36.5 -47.800003
0.387 0.378 7.799999 -36.5 -47.9
0.397 0.388 7.799999 -36.5 -47.9
0.408 0.398 7.799999 -36.399994 -47.9
0.417 0.408 7.799999 -36.399994 -47.9
0.427 0.418 7.799999 -36.399994 -47.800003
0.437 0.428 7.799999 -36.399994 -47.800003
0.447 0.438 7.799999 -36.299988 -47.800003
0.457 0.448 7.799999 -36.299988 -47.800003
0.470 0.458 7.700001 -36.299988 -47.800003
0.477 0.468 7.700001 -36.299988 -47.800003
