magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.098 0.089 -48.766 -287.889 -47.861 -39.5 -262.6 -23.6
0.098 0.098 -48.766 -287.889 -47.861 -39.5 -262.6 -23.6
0.119 0.108 -48.766 -287.889 -47.861 -39.5 -262.6 -23.6
0.119 0.118 -48.766 -287.889 -47.861 -39.5 -262.6 -23.6
0.135 0.128 -31.3 -299.6 -71.7 -39.5 -262.6 -23.6
0.200 0.138 -31.3 -299.6 -71.7 -39.5 -262.6 -23.6
0.200 0.148 -31.3 -299.2 -70.9 -39.5 -262.6 -23.6
0.200 0.158 -31.3 -299.2 -70.9 -39.5 -262.6 -23.6
0.200 0.168 -31.2 -299.0 -71.2 -39.5 -262.6 -23.6
0.200 0.178 -31.2 -299.0 -71.2 -39.5 -262.6 -23.6
0.200 0.188 -31.0 -298.9 -71.3 -39.5 -262.6 -23.6
0.200 0.198 -31.0 -298.9 -71.3 -39.5 -262.6 -23.6
0.241 0.208 -31.1 -298.9 -71.3 -39.5 -262.6 -23.6
0.241 0.218 -31.1 -298.9 -71.3 -39.5 -262.6 -23.6
0.241 0.228 -31.1 -299.0 -71.3 -39.5 -262.6 -23.6
0.241 0.238 -31.1 -299.0 -71.3 -39.5 -262.6 -23.6
0.251 0.248 -31.3 -299.1 -71.3 -39.5 -262.6 -23.6
0.285 0.258 -31.3 -299.1 -71.3 -39.5 -262.6 -23.6
0.285 0.268 -31.4 -299.1 -71.2 -39.5 -262.6 -23.6
0.285 0.278 -31.4 -299.1 -71.2 -39.5 -262.6 -23.6
0.288 0.288 -31.6 -299.1 -71.2 -39.5 -262.6 -23.6
0.297 0.298 -31.6 -299.1 -71.2 -39.5 -262.6 -23.6
0.308 0.308 -31.7 -299.1 -71.2 -39.5 -262.6 -23.6
0.318 0.318 -31.7 -299.1 -71.2 -39.5 -262.6 -23.6
0.327 0.328 -31.8 -299.2 -71.2 -39.5 -262.6 -23.6
0.337 0.338 -31.8 -299.2 -71.2 -39.5 -262.6 -23.6
0.347 0.348 -31.7 -299.1 -71.4 -39.5 -262.6 -23.6
0.357 0.358 -31.7 -299.1 -71.4 -39.5 -262.6 -23.6
0.367 0.368 -31.7 -299.1 -71.4 -39.5 -262.6 -23.6
0.377 0.378 -31.7 -299.1 -71.4 -39.5 -262.6 -23.6
0.387 0.388 -31.7 -299.1 -71.5 -39.5 -262.6 -23.6
0.397 0.398 -31.7 -299.1 -71.5 -39.5 -262.6 -23.6
0.408 0.408 -31.7 -299.0 -71.5 -39.5 -262.6 -23.6
0.417 0.418 -31.7 -299.0 -71.5 -39.5 -262.6 -23.6
0.427 0.428 -31.7 -299.0 -71.4 -39.5 -262.6 -23.6
0.437 0.438 -31.7 -299.0 -71.4 -39.5 -262.6 -23.6
0.447 0.448 -31.7 -298.9 -71.4 -39.5 -262.6 -23.6
0.457 0.458 -31.7 -298.9 -71.4 -39.5 -262.6 -23.6
0.470 0.468 -31.8 -298.9 -71.4 -39.5 -262.6 -23.6
0.477 0.478 -31.8 -298.9 -71.4 -39.5 -262.6 -23.6
0.487 0.488 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.497 0.498 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.507 0.508 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.519 0.518 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.527 0.528 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.537 0.538 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.547 0.548 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.557 0.558 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.578 0.568 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.578 0.578 -31.8 -298.9 -71.5 -39.5 -262.6 -23.6
0.607 0.588 -31.9 -298.9 -71.5 -39.5 -262.6 -23.6
0.607 0.598 -31.9 -298.9 -71.5 -39.5 -262.6 -23.6
0.609 0.608 -31.9 -298.9 -71.6 -39.5 -262.6 -23.6
0.623 0.618 -31.9 -298.9 -71.6 -39.5 -262.6 -23.6
0.627 0.628 -31.9 -298.9 -71.6 -39.5 -262.6 -23.6
0.637 0.638 -31.9 -298.9 -71.6 -39.5 -262.6 -23.6
0.647 0.648 -31.9 -298.80002 -71.7 -39.5 -262.6 -23.6
0.657 0.658 -31.9 -298.80002 -71.7 -39.5 -262.6 -23.6
0.667 0.668 -31.9 -298.80002 -71.7 -39.5 -262.6 -23.6
0.677 0.678 -31.9 -298.80002 -71.7 -39.5 -262.6 -23.6
0.687 0.688 -32.0 -298.80002 -71.7 -39.5 -262.6 -23.6
0.697 0.698 -32.0 -298.80002 -71.7 -39.5 -262.6 -23.6
0.707 0.708 -32.0 -298.80002 -71.8 -39.5 -262.6 -23.6
0.717 0.718 -32.0 -298.80002 -71.8 -39.5 -262.6 -23.6
0.727 0.728 -32.0 -298.80002 -71.8 -39.5 -262.6 -23.6
0.737 0.738 -32.0 -298.80002 -71.8 -39.5 -262.6 -23.6
0.747 0.748 -32.0 -298.7 -71.9 -39.5 -262.6 -23.6
0.757 0.758 -32.0 -298.7 -71.9 -39.5 -262.6 -23.6
0.767 0.768 -32.1 -298.7 -71.9 -39.5 -262.6 -23.6
0.777 0.778 -32.1 -298.7 -71.9 -39.5 -262.6 -23.6
0.787 0.788 -32.1 -298.7 -72.0 -39.5 -262.6 -23.6
0.797 0.798 -32.1 -298.7 -72.0 -39.5 -262.6 -23.6
0.807 0.808 -32.1 -298.7 -72.0 -39.5 -262.6 -23.6
0.817 0.818 -32.1 -298.7 -72.0 -39.5 -262.6 -23.6
0.827 0.828 -32.2 -298.7 -72.1 -39.5 -262.6 -23.6
0.837 0.838 -32.2 -298.7 -72.1 -39.5 -262.6 -23.6
0.847 0.848 -32.1 -298.6 -72.1 -39.5 -262.6 -23.6
0.857 0.858 -32.1 -298.6 -72.1 -39.5 -262.6 -23.6
0.867 0.868 -32.2 -298.6 -72.2 -39.5 -262.6 -23.6
0.877 0.878 -32.2 -298.6 -72.2 -39.5 -262.6 -23.6
0.887 0.888 -32.2 -298.5 -72.2 -39.5 -262.6 -23.6
0.897 0.898 -32.2 -298.5 -72.2 -39.5 -262.6 -23.6
0.907 0.908 -32.2 -298.5 -72.3 -39.5 -262.6 -23.6
0.918 0.918 -32.2 -298.5 -72.3 -39.5 -262.6 -23.6
0.928 0.928 -32.1 -298.5 -72.3 -39.5 -262.6 -23.6
0.939 0.938 -32.1 -298.5 -72.3 -39.5 -262.6 -23.6
0.949 0.948 -32.1 -298.4 -72.3 -39.5 -262.6 -23.6
0.959 0.958 -32.1 -298.4 -72.3 -39.5 -262.6 -23.6
0.969 0.968 -32.1 -298.4 -72.3 -39.5 -262.6 -23.6
0.979 0.978 -32.1 -298.4 -72.3 -39.5 -262.6 -23.6
0.989 0.988 -32.2 -298.4 -72.3 -39.5 -262.6 -23.6
0.999 0.998 -32.2 -298.4 -72.3 -39.5 -262.6 -23.6
1.009 1.008 -32.2 -298.4 -72.4 -39.5 -262.6 -23.6
1.020 1.018 -32.2 -298.4 -72.4 -39.5 -262.6 -23.6
1.029 1.028 -32.2 -298.4 -72.4 -39.5 -262.6 -23.6
1.039 1.038 -32.2 -298.4 -72.4 -39.5 -262.6 -23.6
1.049 1.048 -32.3 -298.4 -72.5 -39.5 -262.6 -23.6
1.059 1.058 -32.3 -298.4 -72.5 -39.5 -262.6 -23.6
1.069 1.068 -32.3 -298.4 -72.5 -39.5 -262.6 -23.6
1.079 1.078 -32.3 -298.4 -72.5 -39.5 -262.6 -23.6
1.089 1.088 -32.3 -298.30002 -72.5 -39.5 -262.6 -23.6
1.099 1.098 -32.3 -298.30002 -72.5 -39.5 -262.6 -23.6
1.109 1.108 -32.3 -298.30002 -72.6 -39.5 -262.6 -23.6
1.119 1.118 -32.3 -298.30002 -72.6 -39.5 -262.6 -23.6
1.129 1.128 -32.3 -298.30002 -72.6 -39.5 -262.6 -23.6
1.139 1.138 -32.3 -298.30002 -72.6 -39.5 -262.6 -23.6
1.149 1.148 -32.3 -298.2 -72.7 -39.5 -262.6 -23.6
1.158 1.158 -32.3 -298.2 -72.7 -39.5 -262.6 -23.6
1.168 1.168 -32.3 -298.2 -72.8 -39.5 -262.6 -23.6
1.178 1.178 -32.3 -298.2 -72.8 -39.5 -262.6 -23.6
1.188 1.188 -32.3 -298.1 -72.8 -39.5 -262.6 -23.6
1.199 1.198 -32.3 -298.1 -72.8 -39.5 -262.6 -23.6
1.208 1.208 -32.3 -298.0 -72.7 -39.5 -262.6 -23.6
1.218 1.218 -32.3 -298.0 -72.7 -39.5 -262.6 -23.6
1.227 1.228 -32.3 -298.0 -72.8 -39.5 -262.6 -23.6
1.237 1.238 -32.3 -298.0 -72.8 -39.5 -262.6 -23.6
1.248 1.248 -32.3 -298.0 -72.8 -39.5 -262.6 -23.6
1.258 1.258 -32.3 -298.0 -72.8 -39.5 -262.6 -23.6
1.268 1.268 -32.4 -297.9 -72.9 -39.5 -262.6 -23.6
1.277 1.278 -32.4 -297.9 -72.9 -39.5 -262.6 -23.6
1.289 1.288 -32.4 -297.9 -72.9 -39.5 -262.6 -23.6
1.299 1.298 -32.4 -297.9 -72.9 -39.5 -262.6 -23.6
1.309 1.308 -32.3 -297.80002 -72.8 -39.5 -262.6 -23.6
1.319 1.318 -32.3 -297.80002 -72.8 -39.5 -262.6 -23.6
1.329 1.328 -32.4 -297.80002 -72.9 -39.5 -262.6 -23.6
1.339 1.338 -32.4 -297.80002 -72.9 -39.5 -262.6 -23.6
