rotation-vector.txt

Estimated-heading-accuracy is in radians. The rotation vector represents the orientation of the device as a combination of an angle and an axis, in which the device has rotated through an angle θ around an axis <x, y, z>. The reference coordinate system is defined as a direct orthonormal basis, where: X is defined as the vector product Y.Z (It is tangential to the ground at the device's current location and roughly points East). Y is tangential to the ground at the device's current location and points towards magnetic north. Z points towards the sky and is perpendicular to the ground.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x*sin(θ/2) y*sin(θ/2) z*sin(θ/2) cos(θ/2) estimated-heading-accuracy
0.099 0.078 1.03651546E-4 0.21568377 0.96269226 0.16341393 0.0
0.099 0.088 6.41132E-4 0.21315037 0.9625347 0.16761114 0.0
0.119 0.098 -0.0071817697 0.21374623 0.9669852 0.13856655 0.0
0.119 0.108 -0.015093613 0.21446821 0.97025985 0.11122727 0.0
0.135 0.118 -0.010369135 0.21149953 0.96766806 0.13703631 0.0
0.200 0.128 -0.004217312 0.21006009 0.969074 0.12943189 0.0
0.200 0.138 0.0038619463 0.21049011 0.96455 0.15913014 0.0
0.200 0.148 0.005190133 0.21176739 0.96331185 0.16479701 0.0
0.200 0.158 0.0069788257 0.21481651 0.9614975 0.17125405 0.0
0.200 0.168 0.0062150713 0.21775644 0.960239 0.17459889 0.0
0.200 0.178 0.004935883 0.21822394 0.9592802 0.1792639 0.0
0.200 0.188 0.0030319819 0.21832316 0.960899 0.17029098 0.0
0.241 0.198 0.0031782475 0.21617867 0.96192944 0.16717803 0.0
0.241 0.208 0.0031672856 0.21925141 0.9609979 0.16852847 0.0
0.241 0.218 0.0060150702 0.22122373 0.96076196 0.16721396 0.0
0.241 0.228 0.012357632 0.2169109 0.9591065 0.1814156 0.0
0.251 0.238 0.013513493 0.21252415 0.95969486 0.18340316 0.0
0.285 0.248 0.013176061 0.21323566 0.95956504 0.18328072 0.0
0.285 0.258 0.011791396 0.21514632 0.95997274 0.17895648 0.0
0.285 0.268 0.011603513 0.21800299 0.9593932 0.1786188 0.0
0.288 0.278 0.014273719 0.21777944 0.9594874 0.17819183 0.0
0.298 0.288 0.013564153 0.21285199 0.95940775 0.1845182 0.0
0.308 0.298 0.0042852755 0.21215415 0.96215343 0.170977 0.0
0.327 0.308 -0.002058448 0.2133364 0.96591896 0.14657433 0.0
0.328 0.318 0.001766691 0.21264517 0.96730375 0.13821165 0.0
0.338 0.328 0.009654652 0.20958917 0.96478367 0.15865579 0.0
0.348 0.338 0.011841402 0.20767643 0.9625278 0.17398438 0.0
0.358 0.348 0.004040417 0.21179375 0.96250266 0.16945753 0.0
0.370 0.358 -7.7655644E-4 0.21558447 0.9655851 0.14549309 0.0
0.378 0.368 0.004705921 0.2152116 0.9651732 0.14866951 0.0
0.388 0.378 0.009246515 0.20987025 0.96319395 0.16770898 0.0
0.398 0.388 0.007714487 0.20725743 0.9641245 0.16567706 0.0
0.408 0.398 0.0065302635 0.20918393 0.9645544 0.16073048 0.0
0.420 0.408 0.004168856 0.21229985 0.9637661 0.16145097 0.0
0.428 0.418 0.002729895 0.2154006 0.96442044 0.15325917 0.0
0.438 0.428 0.008839405 0.21141568 0.96482074 0.15603296 0.0
0.448 0.438 0.015543163 0.20775777 0.9621817 0.17550409 0.0
0.458 0.448 0.01470421 0.20646617 0.9611309 0.18271008 0.0
0.470 0.458 0.008962841 0.20846294 0.9629916 0.17061698 0.0
0.478 0.468 0.006720707 0.21109635 0.96419364 0.16038637 0.0
0.488 0.478 0.010088601 0.21281667 0.96354145 0.16184947 0.0
0.498 0.488 0.015558428 0.21228005 0.96142495 0.17423347 0.0
0.508 0.498 0.013864918 0.21005444 0.95991 0.18508862 0.0
0.519 0.508 0.005208894 0.21076296 0.96284246 0.1687786 0.0
0.528 0.518 8.801883E-4 0.21286868 0.96559113 0.14939837 0.0
0.538 0.528 0.00453041 0.21409045 0.9652505 0.14978708 0.0
0.548 0.538 0.011104335 0.21235636 0.96323246 0.1642093 0.0
0.558 0.548 0.0105932215 0.20678233 0.9622097 0.17686528 0.0
0.578 0.558 0.007579316 0.20760722 0.96495897 0.16030025 0.0
0.578 0.568 0.0074462546 0.20966598 0.96418566 0.16226776 0.0
0.607 0.578 0.0057726842 0.21130873 0.9645165 0.15818755 0.0
0.607 0.588 0.006698739 0.20921896 0.9652394 0.1565103 0.0
0.609 0.598 0.008653721 0.20445888 0.9655439 0.16076899 0.0
0.624 0.608 0.009685036 0.20401247 0.9654783 0.16166872 0.0
0.628 0.618 0.010369962 0.20325129 0.9652037 0.16420488 0.0
0.638 0.628 0.011152522 0.20660669 0.9645508 0.16380212 0.0
0.648 0.638 0.012598862 0.20895864 0.9629035 0.17027739 0.0
0.658 0.648 0.013859202 0.21007149 0.96235424 0.17190787 0.0
0.668 0.658 0.014351918 0.20820302 0.96198916 0.17613176 0.0
0.678 0.668 0.0111717805 0.20848961 0.9623843 0.17384976 0.0
0.688 0.678 0.004643378 0.20918478 0.9643731 0.16187832 0.0
0.698 0.688 0.0022646189 0.20870791 0.966804 0.1473971 0.0
0.708 0.698 0.0057824682 0.20440805 0.9673397 0.14979278 0.0
0.718 0.708 0.0084803905 0.20324697 0.96618307 0.15845865 0.0
0.728 0.718 0.010468992 0.204286 0.96552217 0.16101155 0.0
0.738 0.728 0.012155302 0.20466991 0.9643714 0.16718344 0.0
0.748 0.738 0.011753459 0.20334429 0.96412605 0.17021774 0.0
0.758 0.748 0.010801703 0.20504405 0.9646819 0.16501261 0.0
0.768 0.758 0.011335864 0.20545094 0.96496946 0.16277443 0.0
0.778 0.768 0.012001536 0.20532946 0.9643733 0.16637321 0.0
0.788 0.778 0.0121164825 0.20599413 0.9642362 0.16633768 0.0
0.798 0.788 0.011788791 0.2027896 0.9646858 0.16768661 0.0
0.808 0.798 0.0102996975 0.20374939 0.9651881 0.1636831 0.0
0.818 0.808 0.010094869 0.20500721 0.96524227 0.1617946 0.0
0.828 0.818 0.009399111 0.20623259 0.965178 0.16065899 0.0
0.838 0.828 0.00853206 0.20478785 0.9655775 0.16015379 0.0
0.848 0.838 0.008211124 0.20184681 0.9660613 0.16098474 0.0
0.858 0.848 0.00988285 0.19894229 0.9673322 0.15682074 0.0
0.868 0.858 0.01443855 0.1996174 0.96651345 0.16061182 0.0
0.878 0.868 0.017601015 0.20187041 0.9635715 0.17455281 0.0
0.888 0.878 0.014597025 0.20288038 0.96260417 0.17894077 0.0
0.898 0.888 0.010430253 0.2038898 0.96497154 0.1647731 0.0
0.908 0.898 0.011825858 0.2044728 0.9656144 0.16012466 0.0
0.918 0.908 0.015263233 0.20468357 0.96401644 0.1689496 0.0
0.928 0.918 0.015365267 0.20318776 0.9625588 0.1787714 0.0
0.939 0.928 0.014024935 0.20130397 0.96446484 0.17055118 0.0
0.949 0.938 0.013445564 0.20327348 0.9640338 0.17069855 0.0
0.959 0.948 0.013884698 0.20393264 0.9637494 0.1714816 0.0
0.969 0.958 0.014575954 0.2035565 0.963556 0.17295127 0.0
0.979 0.968 0.015617777 0.20423497 0.96322244 0.17391607 0.0
0.989 0.978 0.015542048 0.20646542 0.96204466 0.17776556 0.0
0.999 0.988 0.01478051 0.20522967 0.96324885 0.17266744 0.0
1.010 0.998 0.015455269 0.20298208 0.96353686 0.17365563 0.0
